PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Kristi Toliver,"$196,100",--,11,10,19.8,5.9,1.7,4.6,37.30%,0.5,1.4,40.00%,1.2,3.3,36.10%,1.3,1.5,87.50%,0,0.8,0.8,3.1,2.3,0.4,0,1.3
Sparkle Taylor,"$3,592",Hardship,2,0,12.3,5.5,2.5,3,83.30%,2.5,2.5,100.00%,0,0.5,0.00%,0.5,0.5,100.00%,0,1,1,0,0.5,0,0,1.5
Crystal Dangerfield,"$2,694",Hardship,33,27,21.5,5.5,2,5,39.80%,1.3,2.9,45.30%,0.7,2.2,32.40%,0.8,1,73.50%,0.4,1.6,2,2.6,0.9,0.5,0.1,1.3
Crystal Dangerfield,"$16,166",Hardship,33,27,21.5,5.5,2,5,39.80%,1.3,2.9,45.30%,0.7,2.2,32.40%,0.8,1,73.50%,0.4,1.6,2,2.6,0.9,0.5,0.1,1.3
Crystal Dangerfield,"$25,745",UFA,33,27,21.5,5.5,2,5,39.80%,1.3,2.9,45.30%,0.7,2.2,32.40%,0.8,1,73.50%,0.4,1.6,2,2.6,0.9,0.5,0.1,1.3
Kennedy Burke,"$36,428",--,16,4,13.9,5.4,2.1,4.6,44.60%,1.4,2.6,52.40%,0.7,2,34.40%,0.6,1.1,58.80%,0.5,1.7,2.2,0.4,0.5,1,0.3,1.1
Elizabeth Williams,"$90,000",UFA,30,0,14.9,5.4,2.3,4.7,48.20%,2.3,4.7,48.20%,0,0,--,0.8,1.4,58.10%,1.5,2.3,3.8,0.5,0.6,0.6,0.6,1.5
Destanni Henderson,"$63,389",Rookie,36,5,16.4,5.3,2,4.9,40.10%,1.3,2.9,42.50%,0.7,2,36.60%,0.6,0.9,71.90%,0.8,0.8,1.6,2.5,1.7,0.8,0.1,0.9
Natalie Achonwa,"$160,000",UFA,22,0,15.1,5.3,2.1,4.1,51.60%,2.1,4,52.80%,0,0.1,0.00%,1,1.2,81.50%,1.1,3,4.1,1.7,1,0.4,0.3,1.6
Emily Engstler,"$72,141",Rookie,35,6,18.2,5.2,2.1,5.2,39.60%,1.6,3.9,40.90%,0.5,1.3,35.60%,0.6,1.1,55.30%,2.1,3.1,5.2,1.5,1.4,0.7,1.1,3.1
Damiris Dantas,"$129,150",--,15,15,17.4,5.1,1.9,6.1,30.40%,0.8,2.1,38.70%,1.1,4.1,26.20%,0.3,0.4,83.30%,0.7,3.1,3.8,1.9,1.1,0.2,0.1,1.2
Stephanie Talbot,"$72,141",RFA,34,1,16.1,5,1.9,4.1,46.40%,1,1.9,53.80%,0.9,2.1,39.70%,0.4,0.7,58.30%,0.7,2.5,3.1,1.3,1.1,0.7,0.3,1.3
